"","state","stunting_range","uw_range","wasting_range"
"1","ANDAMAN AND NICOBAR",0.166666666666667,0.166666666666667,0.5
"2","ANDHRA PRADESH",0.5,0.5,0.461538461538462
"3","ARUNACHAL PRADESH",0.166666666666667,0.166666666666667,0.5
"4","ASSAM",0.592592592592593,0.425925925925926,0.296296296296296
"5","BIHAR",0.973684210526316,0.947368421052632,0.565789473684211
"6","CHHATTISGARH",0.694444444444444,0.666666666666667,0.75
"7","DAMAN AND DIU",0.25,0.5,0.75
"8","DELHI",0.5,0.5,0.375
"9","GOA",0,0.5,0.75
"10","GUJARAT",0.769230769230769,0.788461538461538,0.846153846153846
"11","HARYANA",0.523809523809524,0.547619047619048,0.595238095238095
"12","HIMACHAL PRADESH",0.291666666666667,0.25,0.208333333333333
"13","JAMMU & KASHMIR",0.295454545454545,0.136363636363636,0.136363636363636
"14","JHARKHAND",0.895833333333333,1,0.8125
"15","KARNATAKA",0.566666666666667,0.633333333333333,0.683333333333333
"16","KERALA",0.107142857142857,0.0714285714285714,0.285714285714286
"17","MADHYA PRADESH",0.82,0.87,0.79
"18","MAHARASHTRA",0.6,0.685714285714286,0.728571428571429
"19","MANIPUR",0.388888888888889,0,0
"20","MEGHALAYA",0.714285714285714,0.428571428571429,0.357142857142857
"21","MIZORAM",0.4375,0.0625,0
"22","NAGALAND",0.363636363636364,0.136363636363636,0.0909090909090909
"23","ODISHA",0.6,0.666666666666667,0.533333333333333
"24","PUDUCHERRY",0.25,0.375,0.375
"25","PUNJAB",0.225,0.325,0.3
"26","RAJASTHAN",0.696969696969697,0.666666666666667,0.651515151515151
"27","SIKKIM",0.375,0.125,0.25
"28","TAMIL NADU",0.34375,0.390625,0.46875
"29","TELANGANA",0.4,0.45,0.35
"30","TRIPURA",0.25,0.375,0.25
"31","UTTAR PRADESH",0.922535211267606,0.73943661971831,0.373239436619718
"32","UTTARAKHAND",0.461538461538462,0.5,0.538461538461538
"33","WEST BENGAL",0.526315789473684,0.5,0.5
